train_pct,lora_r4_mse,lora_r8_mse,lora_r16_mse,sft_mse,zero_shot_mse
5.0,1.7443341,1.7071611,4.1575594,2.8958552,1.4390855
10.0,0.2977331,0.38438553,0.6603885,1.9099994,1.4390855
20.0,0.71182704,0.30807886,0.17181237,0.20957115,1.4390855
40.0,0.12409653,0.18783002,0.14108767,0.1463724,1.4390855
60.0,0.09494614,0.100028895,0.09854628,0.10462433,1.4390855
80.0,0.13387911,0.10853151,0.10458358,0.10652333,1.4390855
100.0,0.09369084,0.09531721,0.10428074,0.110375956,1.4390855
